tic,settledate,cret,car,bhar,number,classend,ceyr,month,gap,lgap,settleamt,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,M2B_st,classification,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,M2B_ce,PRC,VOL,SHROUT,sprtrn,vt,share turnover,abnormal volume,abnormal share turnover,skewness
WEDC,2006-10-06,5.2083330000000005,8.7175026,8.70567778,103171,2004-06-09,2004,10,849,6.7440591,5.7,2006,2006,2345.0,2006-09-30,2006.0,130.50799999999998,4.06,110.18,0.0,4.16,,7.18,108.928,,4.649,89.57600000000002,0.0,121.1736,3674.0,9.0,81.84100000000002,7.7349999999999985,8.988999999999997,-5.103999999999999,-0.2680000000000073,4.871434527565809,0.0,0.9284764152389128,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005.0,121.268,3.509,104.22,0.0,4.067,,8.988999999999997,117.031,,1.653,81.84100000000002,0.0,124.6185,73.679,8.162000000000006,7.14,-0.2680000000000073,3525.4109999999996,4.798002972407693,0.0,1.027628888082594,4.99,77725.0,24381.0,-0.26899999999999996,65109.291666666664,2.6704930752088374,12615.708333333336,0.5174401514840792,0
DBD,2013-11-08,11.30980486,12.069757119999998,12.48871239,104509,2008-01-15,2008,11,2124,7.6610565,31.6,2013,2013,3946.0,2013-12-31,2013.0,2183.491,35.447,596.764,480.242,71.04,480.242,122.359,2857.491,-17.245,76.48,661.6139999999998,,2114.8847,3578.0,12.0,976.002,-314.3880000000001,157.447,395.86,61.1100000000001,7.688680251094358,0.2199422850838405,0.968579536164793,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008.0,2537.936,57.932,946.601,606.488,69.627,606.488,267.342,3170.08,,30.747,878.721,,1857.1704,879.8939999999999,-1.172999999999888,168.924,249.46299999999988,267.2610000000002,7.839106431250318,0.23896898897371724,0.7317640791572364,29.39,446800.0,78343.0,1.3428,732512.5,9.35006956588336,-285712.5,-3.6469435686659946,0
HELE,2008-01-16,11.21433757,12.246697,10.12186679,103539,2005-10-10,2005,1,828,6.7190132,4.5,2008,2008,5572.0,2008-02-29,2007.0,911.993,7.709,568.376,212.0,13.669,215.0,73.92399999999998,652.548,,24.692,276.30400000000003,,479.6213,3634.0,2.0,238.131,38.17300000000006,70.416,17.018999999999938,15.566000000000011,6.815632314606278,0.2324579245674035,0.5259045847939622,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004.0,811.449,286.263,420.527,260.0,7.7570000000000014,270.0,102.024,581.549,,4.395,156.312,,845.1122,,,152.4,,,6.69882153839931,0.3204144684385587,1.0414852935920804,16.43,484422.0,30148.0,-0.5612,269948.14166666666,8.954097839547122,214473.85833333334,7.114032716376985,0
HRLY,2010-07-02,10.206990070000002,9.811470539999998,10.14921265,103628,2006-06-14,2006,7,1479,7.2991214000000015,10.0,2010,2010,5594.0,2010-07-31,2010.0,226.614,5.311,158.984,12.318,6.938,14.97,21.609,188.123,-11.875,-3.57,87.60700000000001,,213.2215,3812.0,7.0,81.108,6.4990000000000085,3.845,20.306999999999995,22.235,5.423248129562738,0.054356747597235834,0.940901709514858,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006.0,251.45,6.227,203.47,5.948,6.996,6.5779999999999985,13.380999999999998,176.268,,3.407,92.088,,148.7393,88.34299999999998,3.745000000000005,14.929,6.997999999999994,56.46300000000001,5.527244162617973,0.023654802147544243,0.5915263471863194,14.92,123767.0,13682.0,-0.46619999999999995,40648.51666666667,2.9709484480826394,83118.48333333334,6.0750243629099066,0
FRX,2008-12-23,9.20449429,-2.1131003,-2.2451844,103394,2004-09-01,2004,12,1574,7.3613753,65.0,2008,2008,4843.0,2008-03-31,2007.0,4525.367,34.888000000000005,3715.317,0.0,86.667,,1092.37,3718.302,,226.022,2296.679,0.0,12459.3941,2834.0,3.0,1795.109,501.57000000000016,1103.326,416.5569999999997,1016.511,8.417453957817571,0.0,2.753233958704344,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,24.43,1878000.0,301380.0,-0.9717,3175002.5,10.53488121308647,-1297002.5,-4.303545358019775,0
TYC,2007-08-07,-16.343776300000002,-15.371204,-13.9053142,102818,2003-05-28,2003,8,1532,7.3343291,4.9,2007,2007,10787.0,2007-09-30,2007.0,32815.0,669.0,15624.0,4076.0,1151.0,4456.0,1515.0,18781.0,-2862.0,650.0,3244.0,,22006.0307,3669.0,9.0,8088.0,-4844.0,5606.0,6191.0,3202.0,10.398641006907825,0.12421148864848393,0.6706088892274874,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,47.44,5213700.0,495614.0,0.6159,8922806.441666666,18.003539935648845,-3709106.4416666664,-7.483861314786641,0
MMC,2009-11-13,-2.3534493999999997,-9.1345709,-9.4268071,103297,2004-10-14,2004,11,1856,7.5261788,850.0,2009,2009,7065.0,2009-12-31,2009.0,15337.0,305.0,5828.0,3034.0,365.0,3592.0,1280.0,10493.0,-205.0,219.0,1228.0,,11695.223999999998,6411.0,12.0,1398.0,-170.0,1191.0,1291.0,1550.0,9.638023488650779,0.19782225989437308,0.7625496511703722,BID RIGGING (INSURANCE KICKBACKS ALLEGATIONS),0,0,0,0,1,2004.0,18337.0,376.0,5056.0,4691.0,456.0,4761.0,2095.0,12121.0,-1045.0,383.0,152.0,,17332.049,1217.0,-1065.0,5374.0,2857.0,4966.0,9.816676155549164,0.25582156296013525,0.9451954518187272,23.94,3013300.0,523825.0,0.5739,4301112.5,8.210972175822079,-1287812.5,-2.4584784994988786,0
KLAC,2008-01-11,-11.2541492,-8.2312426,-8.005732900000002,103633,2006-05-22,2006,1,599,6.395261799999999,65.0,2008,2008,6304.0,2008-06-30,2008.0,4848.39,57.323,2981.73,744.6610000000002,116.0,744.6610000000002,592.195,2521.716,-65.0,250.327,2085.432,,7085.087,3827.0,6.0,2179.564,-94.13199999999959,718.0980000000002,494.6769999999997,871.7010000000002,8.486401970058138,0.1535893358413824,1.4613277809747152,ACCOUNTING (OPTION DATING),1,0,0,0,0,2006.0,4575.911,73.81,3567.991,0.0,56.5,,309.791,2070.627,,131.436,2540.762,0.0,8278.4161,2270.783,269.97900000000027,582.562,-108.93400000000028,-582.4849999999998,8.428561083569795,0.0,1.8091296137534143,41.81,3061820.0,180051.0,-1.3595,3817207.1083333334,21.200699292607837,-755387.1083333334,-4.195406347831078,0
JPM,2008-06-23,-5.7730246,14.63972471,12.91557461,103773,2004-07-01,2004,6,1453,7.2813859,7000.0,2008,2008,2968.0,2008-12-31,2008.0,2175052.0,,134945.0,234657.0,4406.0,,,101491.0,,,,8355.0,117695.2155,6020.0,12.0,,,35390.0,,,14.592563130265106,0.10788569652587617,0.054111449059608685,MERGER RELATED FRAUD,0,0,1,0,0,2004.0,1157248.0,,105314.0,89885.0,3835.0,,,56931.0,,,,2944.0,138727.0109,-0.99,,171.03099999999995,,-25.200000000000053,13.961555330656983,0.07767133751797367,0.11987664778854662,36.87,37742000.0,3426632.0,0.0053,37384704.166666664,10.910043496548992,357295.8333333358,0.10427026693655339,0
KOSS,2012-03-06,-4.2477922,-15.5275036,-16.504079599999994,104428,2009-12-21,2009,3,806,6.692083800000002,1.0,2012,2012,6497.0,2012-06-30,2012.0,28.749,0.353,17.095,0.0,0.8440000000000001,,2.417,37.866,-0.119,-0.046,7.555,0.081,39.3514,3651.0,6.0,7.943,-0.3879999999999999,5.425,3.342,2.5600000000000005,3.358602984029735,0.0,1.368791957981147,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2009.0,29.626,1.018,17.137999999999998,0.0,0.728,,8.367,41.926,,1.19,6.308,0.0,47.996,18.548,-12.239999999999998,7.291,19.127,6.051,3.3886523541598605,0.0,1.6200634577735775,5.3999,1810.0,7383.0,-1.537,3051.55,0.4133211431667344,-1241.5500000000002,-0.16816334823242587,0
SMTC,2011-03-10,0.12668456,-1.0551321000000002,-1.8563227999999998,103811,2006-07-19,2006,3,1695,7.4354382,20.0,2011,2011,9599.0,2011-01-31,2010.0,659.943,25.537,528.615,0.0,16.448,,88.758,454.502,-10.0,20.6,259.873,0.0,1395.8679,3674.0,1.0,143.786,116.087,32.963,-57.018,162.239,6.492153467654553,0.0,2.1151340343029625,ACCOUNTING (OPTION DATING),1,0,0,0,0,2006.0,521.654,3.249,481.181,0.0,11.812,,24.277,252.538,-0.412,3.1,324.831,0.0,990.5785,235.474,89.35699999999994,49.62,-59.616999999999955,33.44999999999998,6.257004532861192,0.0,1.8989186318901032,25.01,3630063.0,63928.0,-1.8871000000000002,651695.9083333333,10.194217061902973,2978367.091666667,46.58939888103283,0
BKR,2009-04-03,3.76834921,23.21284071,20.77692086,103950,2008-02-22,2008,4,406,6.006353400000001,4.5,2009,2009,1974.0,2009-12-31,2009.0,278.844,5.421,173.433,0.161,5.5920000000000005,0.349,29.558000000000003,445.177,1.0,18.925,154.357,,368.7498,8711.0,12.0,114.209,40.148,46.74,-29.343999999999994,-3.5730000000000115,5.630652485659477,0.0005773837701367072,1.3224232904419675,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008.0,292.062,5.285,142.644,0.368,5.65,0.7240000000000001,46.74,697.495,-0.6,21.098000000000006,114.209,,326.8381,84.62899999999998,29.58000000000001,31.375,-3.5730000000000115,5.161000000000007,5.676966108496843,0.0012600064369894062,1.1190709506885523,27.9,78500.0,8859.0,0.9732,111130.0,12.544305226323512,-32630.0,-3.6832599616209505,0
ATX,2005-07-20,8.207345609999999,17.8980056,17.566509120000006,103490,1999-04-22,1999,7,2281,7.7323694,1.5,2005,2005,3612.0,2005-12-31,2005.0,112.893,4.288,67.17699999999999,10.456,6.977,10.456,2.111,129.115,,0.7190000000000001,50.292,,60.345,3950.0,12.0,36.814,13.478000000000002,-0.006999999999999999,-9.397000000000002,-781.1569999999998,4.7264404674619485,0.09261867431993127,0.5345326991044618,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4.46,3300.0,13138.0,0.47590000000000005,9021.666666666666,0.686684934287309,-5721.666666666666,-0.4355051504541533,0
MOLX,2006-11-07,-5.7142879,-5.6471756,-5.566743799999999,103379,2005-02-14,2005,11,631,6.4473057,10.5,2006,2006,7506.0,2006-06-30,2006.0,2974.42,276.783,2281.869,8.815,212.1,12.127,336.098,2861.289,,70.092,953.421,,5756.571,3678.0,6.0,904.559,48.86200000000007,257.79,152.4609999999999,11.860999999999962,7.997804340989759,0.002963602988145588,1.9353591624585635,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2006.0,2974.42,276.783,2281.869,8.815,212.1,12.127,336.098,2861.289,,70.092,953.421,,5756.571,904.559,48.86200000000007,257.79,152.4609999999999,11.860999999999962,7.997804340989759,0.002963602988145588,1.9353591624585635,33.75,911510.0,99500.0,0.2218,702761.5416666666,7.062930067001675,208748.45833333337,2.0979744556113906,0
NAFC,2008-03-11,-0.8861648000000001,1.50552156,1.6307701299999997,103554,2005-10-20,2005,3,873,6.7719355,6.75,2008,2008,7691.0,2008-12-31,2008.0,954.952,31.955,336.05,271.693,38.429,275.725,80.257,4703.66,,0.8,170.222,,575.3551,5141.0,12.0,195.577,-25.35499999999999,79.82300000000002,111.286,68.44000000000001,6.861661077437461,0.2845095879164607,0.6024963558377803,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005.0,1077.424,24.638,322.578,407.659,43.721,412.681,86.605,4555.507000000001,,23.8,186.348,,339.0369,120.425,65.92299999999999,90.18,15.96500000000002,,6.982328285847597,0.3783645064524273,0.3146736103892247,34.12,171255.0,12927.0,3.7130000000000005,242137.975,18.731180861762205,-70882.975,-5.483327531523169,0
TAP,2008-11-07,10.78784335,16.878723339999997,16.855369690000003,103436,2005-04-27,2005,11,1290,7.1623974000000015,6.0,2008,2008,3505.0,2008-12-31,2008.0,10416.6,230.5,5980.3,1831.7,273.4,1831.8,600.3,4774.3,,71.5,121.0,,8990.745,2082.0,12.0,41.237,79.763,753.263,491.93699999999984,210.1600000000001,9.251155966475956,0.17584432540368258,0.8631170439490813,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2005.0,11799.265,406.045,5324.717,2136.668,392.814,2470.769,567.441,5506.906,,170.7,-768.3739999999998,,5737.6793,91.319,-859.6929999999999,340.903,1243.203,601.51,9.375792520378177,0.1810848387590244,0.4862742975939603,42.43,1049800.0,177488.0,2.8855000000000004,1693289.1666666667,9.540302255175938,-643489.1666666667,-3.6255361864839695,0
TAP,2008-11-07,10.78784335,16.878723339999997,16.855369690000003,103436,2005-04-27,2005,11,1290,7.1623974000000015,6.0,2008,2008,3505.0,2008-12-31,2008.0,10416.6,230.5,5980.3,1831.7,273.4,1831.8,600.3,4774.3,,71.5,121.0,,8990.745,2082.0,12.0,41.237,79.763,753.263,491.93699999999984,210.1600000000001,9.251155966475956,0.17584432540368258,0.8631170439490813,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2005.0,11799.265,406.045,5324.717,2136.668,392.814,2470.769,567.441,5506.906,,170.7,-768.3739999999998,,5737.6793,91.319,-859.6929999999999,340.903,1243.203,601.51,9.375792520378177,0.1810848387590244,0.4862742975939603,41.0,200.0,5989.0,2.8855000000000004,450.0,0.07513775254633495,-250.0,-0.04174319585907497,0
BAC,2012-11-30,10.85403861,2.4866436000000003,2.55417941,104217,2009-01-17,2009,11,1413,7.2534703999999985,2425.0,2012,2012,7647.0,2012-12-31,2012.0,2209974.0,,218188.0,220388.0,3038.0,,,99708.0,,,,9419.0,125135.645,6020.0,12.0,,,47345.0,,,14.608491308718849,0.09972425014954928,0.05662312995537504,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2009.0,2223299.0,,194236.0,339377.0,4314.0,,,150450.0,,,,15413.0,130272.6746,,,18986.0,,,14.614502686825602,0.15264568553307495,0.05859431169626756,9.86,108745200.0,10778078.0,0.0162,142367286.66666666,13.208967931635552,-33622086.66666666,-3.1194881561134236,0
RYL,2007-03-15,0.28589689,-7.1779589999999995,-7.354294,102962,2004-01-07,2004,3,1163,7.0587583,1.2,2007,2007,9302.0,2007-12-31,2007.0,2542.179,32.147,1124.726,763.568,54.494,839.08,-404.208,3032.594,,25.569000000000006,,,1161.2601,1531.0,12.0,,,574.803,,,7.840776866264732,0.3003596520937353,0.4567971413499993,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004.0,2424.97,47.131,1056.8339999999996,545.914,38.519,548.452,522.439,3951.821,,177.449,,,2724.4039,1982.7,,-910.0,,-1114.1,7.793574432161041,0.22512196027167347,1.1234794244877255,45.25,1249500.0,42613.0,0.3684,1372324.0333333334,32.20435156720563,-122824.03333333344,-2.882313691440017,0
PARS,2007-08-14,-30.166668200000004,-23.1050576,-21.0355857,103342,2004-12-17,2004,8,970,6.877296,7.0,2007,2007,12757.0,2007-12-31,2007.0,12.375,0.177,9.985,0.0,0.235,,-17.579,0.0,,,9.504,0.0,8.7043,2834.0,12.0,24.168000000000006,-14.664000000000005,-15.546,,,2.515678308454754,0.0,0.7033777777777778,INSIDER TRADING,0,1,0,0,0,2004.0,57.665,0.31,46.99100000000001,0.0,0.578,4.766,-19.88,0.0,,,46.269,,135.0747,,,759.1,,,4.054650403677901,0.0,2.3424035376745,0.82,64867.0,25604.0,-1.8156999999999999,81034.44166666667,3.1649133598916834,-16167.441666666666,-0.631442027287403,-1
CI,2007-01-24,2.58078957,-2.5240267999999997,-2.6461539000000003,102601,2002-10-24,2002,1,1553,7.347943799999999,93.0,2007,2007,2547.0,2007-12-31,2007.0,40065.0,,4748.0,1790.0,194.0,,,17667.0,,,,122.0,15022.2632,6324.0,12.0,,,1910.0,,,10.598258414212172,0.04467739922625733,0.3749472906526894,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,129.55,1681300.0,102568.0,0.8501,1008601.6666666666,9.833492577282064,672698.3333333334,6.55855952473806,0
CHE,2014-02-06,10.94708921,10.6324746,10.36077522,104835,2011-11-16,2011,2,813,6.700731299999998,6.0,2014,2014,2960.0,2014-12-31,2014.0,859.932,43.57100000000001,451.356,141.25,30.601,147.5,171.03099999999995,1456.2820000000004,-0.447,44.92100000000001,-0.99,,1784.7663,8082.0,12.0,-139.33,138.34,163.36,-25.200000000000053,287.6860000000001,6.756853316353933,0.16425717382304647,2.0754737583901983,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2011.0,795.905,29.592,413.684,166.78400000000005,26.747,166.78400000000005,157.335,1355.97,-3.487,44.343,5.353,,975.909,47.455,-42.102,146.711,152.24900000000005,112.74500000000002,6.679479831988328,0.2095526476149792,1.226162670167922,76.34,147400.0,17634.0,1.2440000000000002,232974.16666666666,13.211646062530717,-85574.16666666666,-4.852793845223243,0
HOV,2009-09-11,-13.594041899999999,-42.82119779999999,-47.0413109,103909,2007-08-13,2007,9,760,6.633318400000001,4.0,2009,2009,5750.0,2009-10-31,2009.0,2024.577,0.75,-484.897,1758.749,18.527,1773.208,-835.694,1596.29,,-145.44299999999996,,,310.6690000000001,1531.0,10.0,,,-919.749,,,7.613116068831428,0.8686994863618425,0.1534488438819566,CREDIT CRISIS (BUILDERS),0,0,1,0,0,2007.0,4540.548,37.777,1186.504,1932.815,45.207,1943.015,-360.889,4779.821,,-64.492,,,716.6235,,,329.665,,,8.420802988596964,0.4256787947181706,0.15782753535476335,3.99,2827500.0,62617.0,-0.135,3179905.0,50.78341345002156,-352405.0,-5.627944487918616,0
COO,2010-07-29,7.41032175,-4.6502390999999985,-5.1612856,103573,2005-11-21,2005,7,1711,7.4448333,27.0,2010,2010,3504.0,2010-10-31,2010.0,2525.018,73.757,1666.776,591.977,94.001,591.977,206.543,1158.517,-28.25,8.603,291.82,,2261.1042,3851.0,10.0,328.464,-36.64400000000001,163.332,254.82800000000003,97.82999999999998,7.834003470396923,0.2344446653449599,0.8954804282583333,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005.0,2179.83,117.093,1273.225,632.6519999999998,48.63800000000001,670.931,186.496,806.617,,2.79,186.092,,3058.63,187.989,-1.8969999999999916,116.751,117.148,483.403,7.687002171091032,0.2902299720620415,1.4031507044127296,38.94,295700.0,46574.0,-0.41590000000000005,424115.0,9.106261003993644,-128415.0,-2.75722506119294,0
T,2006-03-02,-4.1018381,-10.2308332,-10.449856699999998,102550,2002-08-22,2002,3,1288,7.1608458,74.75,2006,2006,9899.0,2006-12-31,2006.0,270634.0,8320.0,115540.0,50063.0,9907.0,54477.0,10288.0,63055.0,,2777.0,-14929.0,,223035.1695,4812.0,12.0,-10764.0,-4165.0,6404.0,13263.0,6804.0,12.508522633536948,0.18498414833317325,0.8241210250744547,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,28.28,14677300.0,3879760.0,-0.1626,13454808.333333334,3.46794861881491,1222491.666666666,0.31509466221278276,0
TOL,2010-10-28,6.790798349999998,3.68153365,3.66491616,103746,2005-11-08,2005,10,1815,7.5038409,25.0,2010,2010,12395.0,2010-10-31,2010.0,5171.555,4.83,2555.453,1608.068,20.044,1638.601,-139.44899999999998,1529.601,,-148.776,,,2985.3595,1531.0,10.0,,,-475.254,,,8.550928695973525,0.31094477386395386,0.5772653486233831,CREDIT CRISIS (BUILDERS),0,0,1,0,0,2005.0,6343.84,43.029,2763.571,1653.8429999999996,20.345,1830.254,1424.723,5834.6219999999985,,363.85,,,5718.9461,,,733.2330000000002,,,8.755239542315678,0.26070061666120203,0.901495955131277,17.86,1530800.0,165880.0,0.11249999999999999,3087982.5,18.615761393778634,-1557182.5,-9.38740354473113,0
UNM,2007-07-30,-5.834765900000002,0.75855936,0.00345024,102697,2003-02-04,2003,7,1637,7.4006205,40.0,2007,2007,12726.0,2007-12-31,2007.0,52432.7,,8039.9,2515.2,74.1,,,10559.0,,,,183.1,,6321.0,12.0,,,698.9,,,10.867285721475051,0.04797006448266063,,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,23.82,2167062.0,342803.0,1.0254,1831353.625,5.342291709815842,335708.375,0.9793040755185923,0
STAA,2006-05-26,-3.7712943,-2.5063673,-3.4507135,103246,2004-01-06,2004,5,871,6.769641900000001,3.7,2006,2006,9969.0,2006-12-31,2006.0,47.77,0.7859999999999999,31.76,0.957,2.372,1.457,-13.933,56.282,,0.731,14.363,,179.5822,3851.0,12.0,22.735,-8.372,-10.066,-4.706,-13.467000000000002,3.866397827401871,0.02003349382457609,3.7593091898681177,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004.0,51.973,1.705,37.84,0.011,2.693,0.097,-9.658,51.685,,1.602,19.103,,129.5633,-5254.0,5273.103,13866.0,-5283.375,2179.0,3.9507243529652207,0.00021164835587709005,2.49289631154638,7.52,84635.0,25007.0,0.5719,291936.325,11.674184228416044,-207301.325,-8.28973187507498,0
RGR,2012-01-25,19.514915440000006,-3.0061922,-4.215694299999999,104354,2007-10-29,2007,1,1549,7.345364999999998,3.0,2012,2012,10124.0,2012-12-31,2012.0,174.486,27.282,95.032,0.0,14.888,,112.183,492.648,,33.0,37.43,0.0,874.5402,3480.0,12.0,96.646,-59.216,62.97,126.005,11.822000000000005,5.161844509197584,0.0,5.0120938069529934,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2007.0,101.882,4.468,76.069,0.0,4.372,,10.529000000000002,156.485,,4.9,53.264,0.0,170.3362,60.522,-7.258000000000003,-0.28,12.791000000000004,22.466000000000008,4.623815280856932,0.0,1.6718969003356825,39.61,216900.0,19038.0,0.8672,258468.33333333334,13.57644360402003,-41568.33333333334,-2.1834401372693217,0
MBI,2011-09-06,25.81602072,29.78775298,31.77837101,103911,2008-01-09,2008,9,1336,7.197435400000002,68.0,2011,2011,13561.0,2011-12-31,2011.0,26873.0,,1700.0,13151.0,7.0,,,-1579.0,,,,,2238.5274,6351.0,12.0,,,-201.607,,,10.198877344056113,0.4893759535593346,0.08330024187846538,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2008.0,29657.074,,994.42,12289.808,9.64,,,-1236.131,,,,,,,,-1495.044,,,10.297455959443225,0.4143971856427914,,7.53,1912400.0,196788.0,-0.7436,3299631.6666666665,16.767443475550678,-1387231.6666666665,-7.04937123537343,-1
TLAB,2011-04-05,-0.3868469000000001,-2.276672,-2.4147783,102484,2001-06-19,2001,4,3577,8.0385122,7.375,2011,2011,10420.0,2011-12-31,2011.0,2248.0,65.2,1644.7,0.0,76.2,,-79.9,1285.7,,6.1,1166.8,0.0,1474.5515,3661.0,12.0,1249.7,-82.90000000000009,199.7,7.900000000000091,237.1,7.717796211013582,0.0,0.6559392793594306,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,5.23,3495480.0,363281.0,-0.018000000000000002,6788230.616666666,18.685894986709094,-3292750.616666666,-9.063921913523323,0
BPT,2009-03-16,20.59716898,18.99515327,20.11933296,103715,2006-08-04,2006,3,955,6.8617115,43.25,2009,2009,15350.0,2009-12-31,2009.0,32.484,,32.273,0.0,0.0,,128.555,130.014,29.474,,,0.0,1771.92,6792.0,12.0,,,250.501,,,3.4807476604201644,0.0,54.5474695234577,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006.0,9.044,,8.853,0.0,0.0,,183.807,184.864,,,,0.0,1647.372,,,151.881,,,2.2021015544157234,0.0,182.1508182220257,54.38,151500.0,21400.0,-0.35159999999999997,206885.0,9.667523364485982,-55385.0,-2.5880841121495326,0
ABIX,2005-05-06,16.08775533,39.78006149,30.06052097,103044,2004-04-16,2004,5,385,5.9532433,0.9,2005,2005,15359.0,2005-12-31,2005.0,26.432,0.482,11.05,0.059,0.423,0.109,3.724,70.626,,0.99,9.643,,19.1119,5047.0,12.0,7.5310000000000015,2.1119999999999983,0.65,0.5630000000000017,-5.776000000000002,3.2745753973385674,0.0022321428571428575,0.7230591707021792,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004.0,19.272,0.158,8.966000000000003,0.0,0.462,,0.65,52.892,,0.032,7.5310000000000015,0.0,17.2469,0.833,6.6979999999999995,226.763,-5.776000000000002,,2.9586532653125706,0.0,0.8949200913242008,4.75,14981.0,1711.0,-0.1092,167194.28333333333,97.71729008377167,-152213.28333333333,-88.96159166179622,0
PRST,2009-03-11,18.902442940000004,11.67814442,4.218394440000001,103675,2006-09-29,2006,3,894,6.7957058,1.25,2009,2009,15347.0,2009-12-31,2009.0,104.535,0.7240000000000001,56.848,0.0,4.7330000000000005,,-7.888,134.458,1.2,0.049,26.745,,78.5012,3555.0,12.0,42.783,-16.038,7.08,12.11,6.528,4.649521943558591,0.0,0.7509561390921701,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006.0,198.014,4.033,111.237,15.535,6.964,37.572,9.681,265.694,0.3,1.252,47.49800000000001,,226.8103,41.392,6.106000000000009,10.354,5.2539999999999925,14.452000000000007,5.288337735265615,0.07845404870362703,1.145425575969376,1.47,38562.0,36637.0,0.24460000000000004,104312.49166666667,2.8471897717243952,-65750.49166666667,-1.7946472600558634,0
ZIXI,2008-03-07,3.2178245000000003,3.9984711,3.86321527,103234,2004-05-04,2004,3,1403,7.2463679,5.6,2008,2008,16531.0,2008-12-31,2008.0,19.357,1.238,-1.3030000000000002,0.0,1.268,,-6.006,28.035,,0.053,-3.01,0.0,75.3496,7370.0,12.0,-0.979,-2.031,-10.035,-3.9980000000000007,-9.981000000000002,2.9630541111634088,0.0,3.892627989874464,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004.0,52.242,3.393,14.765,15.274,4.816,19.252,-40.175,14.127,,0.163,4.913,,166.1236,3337.51,-3332.597,549.641,3293.682,,3.955886769074533,0.2923701236552965,3.1798859155468784,3.96,1186898.0,62632.0,-0.8409999999999999,1035127.5833333334,16.527136022054755,151770.41666666663,2.4232088495763606,0
