tic,settledate,cret_st,car_st,bhar_st,number,classend,ceyr,month,gap,lgap,settleamt,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,m2b_st,classification,accounting,secondary market & trading,financial intermediatary,non-accounting disclsoure and misrepresentation,others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,m2b_ce,prc,vol,shrout,sprtrn,vt,share turnover,abnormal volume,abnormal share turnover,skewness,news_st,news_ce,news_winner_st,news_winner_ce,confounding,inst_hhi,inst_pct
TYC,8/7/2007,-16.3437763,-15.371204,-13.9053142,102818,5/28/2003,2003,8,1532,7.3343291,4.9,2007,2007,10787,9/30/2007,2007,32815,669,15624,4076,1151,4456,1515,18781,-2862,650,3244,0,22006.0307,3669,9,8088,-4844,5606,6191,3202,10.39864101,0.124211489,0.670608889,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.44,5213700,495614,0.6159,8922806.442,18.00353994,-3709106.442,-7.483861315,0,0,0,0,0,0,2.9012402,240.8599081
MMC,11/13/2009,-2.3534494,-9.1345709,-9.4268071,103297,10/14/2004,2004,11,1856,7.5261788,850,2009,2009,7065,12/31/2009,2009,15337,305,5828,3034,365,3592,1280,10493,-205,219,1228,0,11695.224,6411,12,1398,-170,1191,1291,1550,9.638023489,0.19782226,0.762549651,BID RIGGING (INSURANCE KICKBACKS ALLEGATIONS),0,0,0,0,1,2004,18337,376,5056,4691,456,4761,2095,12121,-1045,383,152,0,17332.049,1217,-1065,5374,2857,4966,9.816676156,0.255821563,0.945195452,23.94,3013300,523825,0.5739,4301112.5,8.210972176,-1287812.5,-2.458478499,0,10,117,1,1,0,4.293127,78.9709972
KLAC,1/11/2008,-11.2541492,-8.2312426,-8.0057329,103633,5/22/2006,2006,1,599,6.3952618,65,2008,2008,6304,6/30/2008,2008,4848.39,57.323,2981.73,744.661,116,744.661,592.195,2521.716,-65,250.327,2085.432,0,7085.087,3827,6,2179.564,-94.132,718.098,494.677,871.701,8.48640197,0.153589336,1.461327781,ACCOUNTING (OPTION DATING),1,0,0,0,0,2006,4575.911,73.81,3567.991,0,56.5,0,309.791,2070.627,0,131.436,2540.762,0,8278.4161,2270.783,269.979,582.562,-108.934,-582.485,8.428561084,0,1.809129614,41.81,3061820,180051,-1.3595,3817207.108,21.20069929,-755387.1083,-4.195406348,0,0,26,0,1,0,3.6553001,92.4572719
JPM,6/23/2008,-5.7730246,14.63972471,12.91557461,103773,7/1/2004,2004,6,1453,7.2813859,7000,2008,2008,2968,12/31/2008,2008,2175052,0,134945,234657,4406,0,0,101491,0,0,0,8355,117695.2155,6020,12,0,0,35390,0,0,14.59256313,0.107885697,0.054111449,MERGER RELATED FRAUD,0,0,1,0,0,2004,1157248,0,105314,89885,3835,0,0,56931,0,0,0,2944,138727.0109,-0.99,0,171.031,0,-25.2,13.96155533,0.077671338,0.119876648,36.87,37742000,3426632,0.0053,37384704.17,10.9100435,357295.8333,0.104270267,0,34,110,1,1,0,2.2677814,68.3835347
KOSS,3/6/2012,-4.2477922,-15.5275036,-16.5040796,104428,12/21/2009,2009,3,806,6.6920838,1,2012,2012,6497,6/30/2012,2012,28.749,0.353,17.095,0,0.844,0,2.417,37.866,-0.119,-0.046,7.555,0.081,39.3514,3651,6,7.943,-0.388,5.425,3.342,2.56,3.358602984,0,1.368791958,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2009,29.626,1.018,17.138,0,0.728,0,8.367,41.926,0,1.19,6.308,0,47.996,18.548,-12.24,7.291,19.127,6.051,3.388652354,0,1.620063458,5.3999,1810,7383,-1.537,3051.55,0.413321143,-1241.55,-0.168163348,0,0,11,0,0,0,17.2650983,11.4372748
SMTC,3/10/2011,0.12668456,-1.0551321,-1.8563228,103811,7/19/2006,2006,3,1695,7.4354382,20,2011,2011,9599,1/31/2011,2010,659.943,25.537,528.615,0,16.448,0,88.758,454.502,-10,20.6,259.873,0,1395.8679,3674,1,143.786,116.087,32.963,-57.018,162.239,6.492153468,0,2.115134034,ACCOUNTING (OPTION DATING),1,0,0,0,0,2006,521.654,3.249,481.181,0,11.812,0,24.277,252.538,-0.412,3.1,324.831,0,990.5785,235.474,89.357,49.62,-59.617,33.45,6.257004533,0,1.898918632,25.01,3630063,63928,-1.8871,651695.9083,10.19421706,2978367.092,46.58939888,0,2,10,0,0,0,3.3702722,96.720733
BKR,4/3/2009,3.76834921,23.21284071,20.77692086,103950,2/22/2008,2008,4,406,6.0063534,4.5,2009,2009,1974,12/31/2009,2009,278.844,5.421,173.433,0.161,5.592,0.349,29.558,445.177,1,18.925,154.357,0,368.7498,8711,12,114.209,40.148,46.74,-29.344,-3.573,5.630652486,0.000577384,1.32242329,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008,292.062,5.285,142.644,0.368,5.65,0.724,46.74,697.495,-0.6,21.098,114.209,0,326.8381,84.629,29.58,31.375,-3.573,5.161,5.676966108,0.001260006,1.119070951,27.9,78500,8859,0.9732,111130,12.54430523,-32630,-3.683259962,0,1,0,0,0,0,3.8181337,72.1208376
ATX,7/20/2005,8.20734561,17.8980056,17.56650912,103490,4/22/1999,1999,7,2281,7.7323694,1.5,2005,2005,3612,12/31/2005,2005,112.893,4.288,67.177,10.456,6.977,10.456,2.111,129.115,0,0.719,50.292,0,60.345,3950,12,36.814,13.478,-0.007,-9.397,-781.157,4.726440467,0.092618674,0.534532699,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,3300,13138,0.4759,9021.666667,0.686684934,-5721.666667,-0.43550515,0,0,0,0,0,0,10.588297,42.5892754
MOLX,11/7/2006,-5.7142879,-5.6471756,-5.5667438,103379,2/14/2005,2005,11,631,6.4473057,10.5,2006,2006,7506,6/30/2006,2006,2974.42,276.783,2281.869,8.815,212.1,12.127,336.098,2861.289,0,70.092,953.421,0,5756.571,3678,6,904.559,48.862,257.79,152.461,11.861,7.997804341,0.002963603,1.935359162,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2006,2974.42,276.783,2281.869,8.815,212.1,12.127,336.098,2861.289,0,70.092,953.421,0,5756.571,904.559,48.862,257.79,152.461,11.861,7.997804341,0.002963603,1.935359162,33.75,911510,99500,0.2218,702761.5417,7.062930067,208748.4583,2.097974456,0,0,13,0,1,0,7.388344,78.8465481
NAFC,3/11/2008,-0.8861648,1.50552156,1.63077013,103554,10/20/2005,2005,3,873,6.7719355,6.75,2008,2008,7691,12/31/2008,2008,954.952,31.955,336.05,271.693,38.429,275.725,80.257,4703.66,0,0.8,170.222,0,575.3551,5141,12,195.577,-25.355,79.823,111.286,68.44,6.861661077,0.284509588,0.602496356,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005,1077.424,24.638,322.578,407.659,43.721,412.681,86.605,4555.507,0,23.8,186.348,0,339.0369,120.425,65.923,90.18,15.965,0,6.982328286,0.378364506,0.31467361,34.12,171255,12927,3.713,242137.975,18.73118086,-70882.975,-5.483327532,0,12,5,1,0,0,3.5636824,132.194803
TAP,11/7/2008,10.78784335,16.87872334,16.85536969,103436,4/27/2005,2005,11,1290,7.1623974,6,2008,2008,3505,12/31/2008,2008,10416.6,230.5,5980.3,1831.7,273.4,1831.8,600.3,4774.3,0,71.5,121,0,8990.745,2082,12,41.237,79.763,753.263,491.937,210.16,9.251155966,0.175844325,0.863117044,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2005,11799.265,406.045,5324.717,2136.668,392.814,2470.769,567.441,5506.906,0,170.7,-768.374,0,5737.6793,91.319,-859.693,340.903,1243.203,601.51,9.37579252,0.181084839,0.486274298,42.43,1049800,177488,2.8855,1693289.167,9.540302255,-643489.1667,-3.625536186,0,46,45,1,1,0,5.1677582,83.1829464
TAP,11/7/2008,10.78784335,16.87872334,16.85536969,103436,4/27/2005,2005,11,1290,7.1623974,6,2008,2008,3505,12/31/2008,2008,10416.6,230.5,5980.3,1831.7,273.4,1831.8,600.3,4774.3,0,71.5,121,0,8990.745,2082,12,41.237,79.763,753.263,491.937,210.16,9.251155966,0.175844325,0.863117044,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2005,11799.265,406.045,5324.717,2136.668,392.814,2470.769,567.441,5506.906,0,170.7,-768.374,0,5737.6793,91.319,-859.693,340.903,1243.203,601.51,9.37579252,0.181084839,0.486274298,41,200,5989,2.8855,450,0.075137753,-250,-0.041743196,0,46,45,1,1,0,5.1677582,83.1829464
BAC,11/30/2012,10.85403861,2.4866436,2.55417941,104217,1/17/2009,2009,11,1413,7.2534704,2425,2012,2012,7647,12/31/2012,2012,2209974,0,218188,220388,3038,0,0,99708,0,0,0,9419,125135.645,6020,12,0,0,47345,0,0,14.60849131,0.09972425,0.05662313,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2009,2223299,0,194236,339377,4314,0,0,150450,0,0,0,15413,130272.6746,0,0,18986,0,0,14.61450269,0.152645686,0.058594312,9.86,108745200,10778078,0.0162,142367286.7,13.20896793,-33622086.67,-3.119488156,0,44,179,1,1,0,2.9289487,51.348903
RYL,3/15/2007,0.28589689,-7.177959,-7.354294,102962,1/7/2004,2004,3,1163,7.0587583,1.2,2007,2007,9302,12/31/2007,2007,2542.179,32.147,1124.726,763.568,54.494,839.08,-404.208,3032.594,0,25.569,0,0,1161.2601,1531,12,0,0,574.803,0,0,7.840776866,0.300359652,0.456797141,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004,2424.97,47.131,1056.834,545.914,38.519,548.452,522.439,3951.821,0,177.449,0,0,2724.4039,1982.7,0,-910,0,-1114.1,7.793574432,0.22512196,1.123479424,45.25,1249500,42613,0.3684,1372324.033,32.20435157,-122824.0333,-2.882313691,0,1,13,0,1,0,6.4532471,107.4357847
PARS,8/14/2007,-30.1666682,-23.1050576,-21.0355857,103342,12/17/2004,2004,8,970,6.877296,7,2007,2007,12757,12/31/2007,2007,12.375,0.177,9.985,0,0.235,0,-17.579,0,0,0,9.504,0,8.7043,2834,12,24.168,-14.664,-15.546,0,0,2.515678308,0,0.703377778,INSIDER TRADING,0,1,0,0,0,2004,57.665,0.31,46.991,0,0.578,4.766,-19.88,0,0,0,46.269,0,135.0747,0,0,759.1,0,0,4.054650404,0,2.342403538,0.82,64867,25604,-1.8157,81034.44167,3.16491336,-16167.44167,-0.631442027,-1,4,13,1,1,0,40.2299787,15.6585221
CI,1/24/2007,2.58078957,-2.5240268,-2.6461539,102601,10/24/2002,2002,1,1553,7.3479438,93,2007,2007,2547,12/31/2007,2007,40065,0,4748,1790,194,0,0,17667,0,0,0,122,15022.2632,6324,12,0,0,1910,0,0,10.59825841,0.044677399,0.374947291,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.55,1681300,102568,0.8501,1008601.667,9.833492577,672698.3333,6.558559525,0,1,52,0,1,0,2.198711,74.3962405
CHE,2/6/2014,10.94708921,10.6324746,10.36077522,104835,11/16/2011,2011,2,813,6.7007313,6,2014,2014,2960,12/31/2014,2014,859.932,43.571,451.356,141.25,30.601,147.5,171.031,1456.282,-0.447,44.921,-0.99,0,1784.7663,8082,12,-139.33,138.34,163.36,-25.2,287.686,6.756853316,0.164257174,2.075473758,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2011,795.905,29.592,413.684,166.784,26.747,166.784,157.335,1355.97,-3.487,44.343,5.353,0,975.909,47.455,-42.102,146.711,152.249,112.745,6.679479832,0.209552648,1.22616267,76.34,147400,17634,1.244,232974.1667,13.21164606,-85574.16667,-4.852793845,0,3,3,1,0,0,5.1154495,112.9602132
HOV,9/11/2009,-13.5940419,-42.8211978,-47.0413109,103909,8/13/2007,2007,9,760,6.6333184,4,2009,2009,5750,10/31/2009,2009,2024.577,0.75,-484.897,1758.749,18.527,1773.208,-835.694,1596.29,0,-145.443,0,0,310.669,1531,10,0,0,-919.749,0,0,7.613116069,0.868699486,0.153448844,CREDIT CRISIS (BUILDERS),0,0,1,0,0,2007,4540.548,37.777,1186.504,1932.815,45.207,1943.015,-360.889,4779.821,0,-64.492,0,0,716.6235,0,0,329.665,0,0,8.420802989,0.425678795,0.157827535,3.99,2827500,62617,-0.135,3179905,50.78341345,-352405,-5.627944488,0,0,0,0,0,0,6.9691774,31.1680742
COO,7/29/2010,7.41032175,-4.6502391,-5.1612856,103573,11/21/2005,2005,7,1711,7.4448333,27,2010,2010,3504,10/31/2010,2010,2525.018,73.757,1666.776,591.977,94.001,591.977,206.543,1158.517,-28.25,8.603,291.82,0,2261.1042,3851,10,328.464,-36.644,163.332,254.828,97.83,7.83400347,0.234444665,0.895480428,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005,2179.83,117.093,1273.225,632.652,48.638,670.931,186.496,806.617,0,2.79,186.092,0,3058.63,187.989,-1.897,116.751,117.148,483.403,7.687002171,0.290229972,1.403150704,38.94,295700,46574,-0.4159,424115,9.106261004,-128415,-2.757225061,0,0,17,0,1,0,4.3548252,111.9716838
T,3/2/2006,-4.1018381,-10.2308332,-10.4498567,102550,8/22/2002,2002,3,1288,7.1608458,74.75,2006,2006,9899,12/31/2006,2006,270634,8320,115540,50063,9907,54477,10288,63055,0,2777,-14929,0,223035.1695,4812,12,-10764,-4165,6404,13263,6804,12.50852263,0.184984148,0.824121025,FAILURE OF DISCLOSURE (ANALYSTS' MALPRACTICES),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.28,14677300,3879760,-0.1626,13454808.33,3.467948619,1222491.667,0.315094662,0,71,253,1,1,1,4.0151105,56.4894982
TOL,10/28/2010,6.79079835,3.68153365,3.66491616,103746,11/8/2005,2005,10,1815,7.5038409,25,2010,2010,12395,10/31/2010,2010,5171.555,4.83,2555.453,1608.068,20.044,1638.601,-139.449,1529.601,0,-148.776,0,0,2985.3595,1531,10,0,0,-475.254,0,0,8.550928696,0.310944774,0.577265349,CREDIT CRISIS (BUILDERS),0,0,1,0,0,2005,6343.84,43.029,2763.571,1653.843,20.345,1830.254,1424.723,5834.622,0,363.85,0,0,5718.9461,0,0,733.233,0,0,8.755239542,0.260700617,0.901495955,17.86,1530800,165880,0.1125,3087982.5,18.61576139,-1557182.5,-9.387403545,0,4,57,1,1,0,5.3927568,80.5896534
UNM,7/30/2007,-5.8347659,0.75855936,0.00345024,102697,2/4/2003,2003,7,1637,7.4006205,40,2007,2007,12726,12/31/2007,2007,52432.7,0,8039.9,2515.2,74.1,0,0,10559,0,0,0,183.1,0,6321,12,0,0,698.9,0,0,10.86728572,0.047970064,0,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.82,2167062,342803,1.0254,1831353.625,5.34229171,335708.375,0.979304076,0,16,0,1,0,0,3.8692954,98.3256503
STAA,5/26/2006,-3.7712943,-2.5063673,-3.4507135,103246,1/6/2004,2004,5,871,6.7696419,3.7,2006,2006,9969,12/31/2006,2006,47.77,0.786,31.76,0.957,2.372,1.457,-13.933,56.282,0,0.731,14.363,0,179.5822,3851,12,22.735,-8.372,-10.066,-4.706,-13.467,3.866397827,0.020033494,3.75930919,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004,51.973,1.705,37.84,0.011,2.693,0.097,-9.658,51.685,0,1.602,19.103,0,129.5633,-5254,5273.103,13866,-5283.375,2179,3.950724353,0.000211648,2.492896312,7.52,84635,25007,0.5719,291936.325,11.67418423,-207301.325,-8.289731875,0,1,10,0,0,0,11.6823769,46.5424696
RGR,1/25/2012,19.51491544,-3.0061922,-4.2156943,104354,10/29/2007,2007,1,1549,7.345365,3,2012,2012,10124,12/31/2012,2012,174.486,27.282,95.032,0,14.888,0,112.183,492.648,0,33,37.43,0,874.5402,3480,12,96.646,-59.216,62.97,126.005,11.822,5.161844509,0,5.012093807,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2007,101.882,4.468,76.069,0,4.372,0,10.529,156.485,0,4.9,53.264,0,170.3362,60.522,-7.258,-0.28,12.791,22.466,4.623815281,0,1.6718969,39.61,216900,19038,0.8672,258468.3333,13.5764436,-41568.33333,-2.183440137,0,1,4,0,0,0,4.9712324,75.2191407
MBI,9/6/2011,25.81602072,29.78775298,31.77837101,103911,1/9/2008,2008,9,1336,7.1974354,68,2011,2011,13561,12/31/2011,2011,26873,0,1700,13151,7,0,0,-1579,0,0,0,0,2238.5274,6351,12,0,0,-201.607,0,0,10.19887734,0.489375954,0.083300242,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2008,29657.074,0,994.42,12289.808,9.64,0,0,-1236.131,0,0,0,0,0,0,0,-1495.044,0,0,10.29745596,0.414397186,0,7.53,1912400,196788,-0.7436,3299631.667,16.76744348,-1387231.667,-7.049371235,-1,3,79,1,1,0,13.1733077,95.8705004
TLAB,4/5/2011,-0.3868469,-2.276672,-2.4147783,102484,6/19/2001,2001,4,3577,8.0385122,7.375,2011,2011,10420,12/31/2011,2011,2248,65.2,1644.7,0,76.2,0,-79.9,1285.7,0,6.1,1166.8,0,1474.5515,3661,12,1249.7,-82.9,199.7,7.9,237.1,7.717796211,0,0.655939279,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,3495480,363281,-0.018,6788230.617,18.68589499,-3292750.617,-9.063921914,0,0,35,0,1,0,4.8248296,72.9017552
BPT,3/16/2009,20.59716898,18.99515327,20.11933296,103715,8/4/2006,2006,3,955,6.8617115,43.25,2009,2009,15350,12/31/2009,2009,32.484,0,32.273,0,0,0,128.555,130.014,29.474,0,0,0,1771.92,6792,12,0,0,250.501,0,0,3.48074766,0,54.54746952,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006,9.044,0,8.853,0,0,0,183.807,184.864,0,0,0,0,1647.372,0,0,151.881,0,0,2.202101554,0,182.1508182,54.38,151500,21400,-0.3516,206885,9.667523364,-55385,-2.588084112,0,4,2,1,0,0,8.9099315,10.1711589
ABIX,5/6/2005,16.08775533,39.78006149,30.06052097,103044,4/16/2004,2004,5,385,5.9532433,0.9,2005,2005,15359,12/31/2005,2005,26.432,0.482,11.05,0.059,0.423,0.109,3.724,70.626,0,0.99,9.643,0,19.1119,5047,12,7.531,2.112,0.65,0.563,-5.776,3.274575397,0.002232143,0.723059171,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004,19.272,0.158,8.966,0,0.462,0,0.65,52.892,0,0.032,7.531,0,17.2469,0.833,6.698,226.763,-5.776,0,2.958653265,0,0.894920091,4.75,14981,1711,-0.1092,167194.2833,97.71729008,-152213.2833,-88.96159166,0,0,12,0,1,0,94.9225951,7.0563413
PRST,3/11/2009,18.90244294,11.67814442,4.21839444,103675,9/29/2006,2006,3,894,6.7957058,1.25,2009,2009,15347,12/31/2009,2009,104.535,0.724,56.848,0,4.733,0,-7.888,134.458,1.2,0.049,26.745,0,78.5012,3555,12,42.783,-16.038,7.08,12.11,6.528,4.649521944,0,0.750956139,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006,198.014,4.033,111.237,15.535,6.964,37.572,9.681,265.694,0.3,1.252,47.498,0,226.8103,41.392,6.106,10.354,5.254,14.452,5.288337735,0.078454049,1.145425576,1.47,38562,36637,0.2446,104312.4917,2.847189772,-65750.49167,-1.79464726,0,1,10,0,0,0,7.6993676,36.2746813
ZIXI,3/7/2008,3.2178245,3.9984711,3.86321527,103234,5/4/2004,2004,3,1403,7.2463679,5.6,2008,2008,16531,12/31/2008,2008,19.357,1.238,-1.303,0,1.268,0,-6.006,28.035,0,0.053,-3.01,0,75.3496,7370,12,-0.979,-2.031,-10.035,-3.998,-9.981,2.963054111,0,3.89262799,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004,52.242,3.393,14.765,15.274,4.816,19.252,-40.175,14.127,0,0.163,4.913,0,166.1236,3337.51,-3332.597,549.641,3293.682,0,3.955886769,0.292370124,3.179885916,3.96,1186898,62632,-0.841,1035127.583,16.52713602,151770.4167,2.42320885,0,0,3,0,0,0,7.3752484,23.7232702
LSCC,8/2/2006,26.57480119,22.20062357,24.64245736,103237,4/19/2004,2004,8,835,6.7274318,3.5,2006,2006,16597,12/31/2006,2006,725.906,13.673,509.572,89.12,23.206,109.6,-12.492,245.459,0,0.4,218.317,0,742.1285,3674,12,277.077,-58.76,-54.029,55.401,13.785,6.58742053,0.122770717,1.022347935,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2004,810.906,10.725,542.591,169,60.731,169,-63.034,225.832,0,1,328.483,0,647.577,2.249,326.234,7.349,-340.262,15.022,6.698152141,0.208408866,0.798584546,5.62,860660,114327,0.6004,1268080.367,11.09169633,-407420.3667,-3.563640843,0,0,3,0,0,0,7.4835559,89.1659928
SLR,11/28/2005,3.40909465,4.16314646,3.92765508,102730,9/26/2002,2002,11,1159,7.0553126,15,2005,2005,17110,8/31/2005,2005,5257.8,150.4,2444.2,540.9,193.3,706.6,159.5,10441.1,0,14.7,2009.4,0,3927.39,3672,8,2507.3,-497.9,139.4,685.6,0,8.567467967,0.102875727,0.74696451,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,5926600,972244,-0.8508,5227155,5.376381855,699445,0.719413028,0,6,17,1,1,0,7.9127209,77.7665205
CSCO,8/28/2006,2.08531047,-1.8637148,-1.959151,101803,2/6/2001,2001,8,2029,7.6152983,99.25,2006,2006,20779,7/31/2006,2006,43315,772,23912,6332,1293,6332,7087,28484,0,1642,14363,148,108334.92,3576,7,3520,10843,7442,-4877,8613,10.67625427,0.146184924,2.501094771,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.41,35729602,6059442,0.5166,48747465.13,8.044876925,-13017863.13,-2.148360051,0,17,143,1,1,0,2.2698962,63.2389898
THOR,8/23/2006,5.52799929,-15.7977364,-17.9825933,103197,6/29/2004,2004,8,785,6.6656837,3.375,2006,2006,10550,12/31/2006,2006,591.135,24.498,365.073,143.75,20.292,143.75,-0.098,214.133,-0.447,2.053,265.691,0,919.9438,3845,12,269.293,-3.602,20.627,-2.755,-34.671,6.382044418,0.243176263,1.556233009,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004,524.415,5.812,292.108,143.75,18.782,143.75,5.707,172.341,-0.733,1.114,206.25,0,504.0675,0,0,1096,0,0,6.262283356,0.274114966,0.961199622,14.93,587262,51944,-0.4489,722202.075,13.90347441,-134940.075,-2.597799072,0,6,7,1,0,0,5.4494164,85.3094966
TTI,7/21/2010,8.76826882,-2.8204144,-2.7129189,103969,10/16/2007,2007,7,1009,6.9167151,8.25,2010,2010,21237,12/31/2010,2010,1299.628,107.684,516.323,305.035,148.022,305.035,-58.966,872.678,2.541,29.095,198.106,0,905.586,1389,12,148.343,49.763,72.274,-97.486,132.811,7.169833349,0.234709471,0.696804009,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2007,1295.536,276.074,447.919,358.024,129.844,358.024,30.012,982.483,1.2,12.184,181.441,0,1157.9565,246.339,-64.898,165.309,-63.504,-106.696,7.166679788,0.276352027,0.893804958,9.83,913100,75678,-1.282,892998.3333,11.79997269,20101.66667,0.265621008,0,1,7,0,0,0,6.3281579,82.321273
MRX,9/21/2011,-3.1530714,-4.2211027,-3.9587884,104120,9/24/2008,2008,9,1092,6.9957662,18,2011,2011,21186,12/31/2011,2011,1451.959,6.179,831.983,0.181,32.609,169.326,202.38,721.126,-2.5,59.9,-23.643,4.668,1895.0838,2834,12,627.182,-650.825,219.287,819.735,-33.213,7.280668958,0.000124659,1.305190987,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2008,973.434,11.09,603.694,169.326,27.698,169.326,76.467,517.75,0,87.8,307.635,0,788.3802,422.971,-115.336,106.145,120.611,212.324,6.880830026,0.173947078,0.809895894,36.89,828900,61312,-2.939,1228428.333,20.03569176,-399528.3333,-6.516315458,0,0,0,0,0,0,2.553114,100.4468325
REGN,9/9/2005,10.72797112,18.49459733,18.41490288,102795,3/30/2003,2003,9,894,6.7957058,4.7,2005,2005,23812,12/31/2005,2005,423.501,4.964,114.002,200,15.504,200,-122.208,66.193,0,0,301.035,0,897.3801,2834,12,309.816,-8.781,5.646,0,0,6.048555875,0.472253903,2.118956272,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41,214456,53768,0.7965,368386.3667,6.851405421,-153930.3667,-2.862862049,0,0,22,0,1,0,10.1851914,52.5341815
PNRA,2/11/2011,19.27599325,20.88846038,21.19702724,103920,7/26/2006,2006,2,1661,7.415175,5.75,2011,2011,24113,12/31/2011,2011,1027.322,107.932,655.076,1.487,79.899,1.673,225.259,1822.032,-5,80.572,114.785,0,4193.8511,5812,12,119.169,-4.384,185.069,121.038,163.909,6.934710695,0.001447453,4.082314114,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2006,542.609,109.296,397.666,0,44.166,0,90.792,828.971,0,42.227,18.008,0,1774.807,15.909,2.099,81.095,-18.664,-4.505,6.296388987,0,3.270876451,116.11,4706924,29007,0.5507,413172.8917,14.24390291,4293751.108,148.024653,0,10,13,1,1,0,4.0970722,85.1093013
RTK,3/23/2011,2.45901382,0.3128534,0.14039807,104420,12/15/2009,2009,3,463,6.1377273,1.8,2011,2011,23898,9/30/2011,2011,254.674,39.402,-19.628,155.229,11.836,193.677,16.339,180.063,0,0.013,36.332,0,174.3037,2870,9,22.656,13.676,-24.785,-24.916,-52.261,5.539984296,0.609520406,0.684418904,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2009,200.9,18.422,49.199,57.961,9.758,94.401,13.876,183,0,0.03,10.591,0,344.5675,15.479,-4.888,-48.094,10.07,-47.059,5.302807272,0.28850672,1.715119462,1.23,1251400,222210,0.2914,1471696.667,6.622999265,-220296.6667,-0.991389526,0,3,24,1,1,0,12.0324914,28.3278408
