Litigation Name ,Filing Date ,Class Start Date ,Class End Date ,Nature of Case  ,Status,Case Status Date ,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others
"Jefferson Savings Bancorp, Inc.",8/9/1999,1/1/1998,4/14/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,6/25/2002,0,0,0,1,0
"ARM Financial Group, Inc.",8/18/1999,10/27/1998,8/3/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/5/2006,0,0,0,1,0
Unistar Financial Service Corp.,8/18/1999,10/15/1998,7/20/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/20/2001,0,0,0,1,0
"Atec Group, Inc.",8/23/1999,10/12/1998,5/19/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,2/25/2003,0,0,0,1,0
"Stewart Enterprises, Inc.",8/23/1999,12/15/1998,8/12/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,3/13/2001,1,0,0,0,0
Champion Enterprises Inc.,8/26/1999,3/30/1999,7/29/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/13/2004,0,0,0,1,0
"U.S. Liquids, Inc.",8/31/1999,5/28/1998,8/25/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/15/2006,0,0,0,1,0
"Day Runner, Inc.",9/2/1999,10/20/1998,8/31/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,5/17/2000,1,0,0,0,0
J.D. Edwards & Company,9/2/1999,1/22/1998,12/3/1998,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/21/2002,1,0,0,0,0
2TheMart.com,9/13/1999,1/19/1999,8/26/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/9/2002,0,0,0,1,0
Harbinger Corporation,9/13/1999,2/4/1998,10/1/1998,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/19/2001,0,0,0,1,0
"Amplidyne, Inc.",9/16/1999,9/9/1999,9/14/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/15/2001,1,0,0,0,0
"Century Business Services, Inc.",9/16/1999,2/6/1998,11/23/1998,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/3/2004,0,0,0,1,0
"Republic Services, Inc.",9/16/1999,1/28/1999,8/28/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,10/24/2001,1,0,0,0,0
"American Access Technologies, Inc.",9/17/1999,7/1/1998,8/23/1999,SECURITIES AND RICO VIOLATIONS,DISMISSED,6/5/2001,0,0,0,0,1
Acxiom Corporation,9/20/1999,7/23/1999,8/30/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/23/2002,0,0,0,1,0
Ogden Corporation,9/22/1999,3/11/1999,9/17/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/10/2000,0,0,0,1,0
Aviation Sales Co.,9/23/1999,6/11/1999,9/17/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/22/2002,1,0,0,0,0
Quintiles Transnational Corporation,9/30/1999,7/16/1999,9/15/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/5/2001,0,0,0,1,0
"UNUMProvident Corp., Inc.",9/30/1999,2/4/1998,8/2/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/1/2002,0,0,0,1,0
"Revlon, Inc.",10/1/1999,10/29/1997,10/2/1998,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/1/2003,1,0,0,0,0
Omtool Ltd.,10/5/1999,8/8/1997,10/6/1998,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/23/2001,0,0,0,1,0
The Clorox Company,10/6/1999,10/19/1998,8/11/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,11/21/2002,1,0,0,0,0
Abbott Laboratories : ALZA Corporation stock,10/7/1999,8/16/1999,10/7/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/20/2000,0,0,0,1,0
Imaging Technologies Corporation (ITEC),10/7/1999,4/21/1998,10/9/1998,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/19/2003,1,0,0,0,0
"Mattel, Inc.",10/7/1999,2/1/1999,10/1/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/9/2008,1,0,0,0,0
Republic New York Corporation,10/7/1999,5/14/1999,9/15/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,3/25/2003,0,0,0,1,0
"Hi/fn, Inc.",10/8/1999,7/26/1999,10/7/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/6/2002,1,0,0,0,0
"Towne Services, Inc.",10/12/1999,6/23/1999,10/12/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/23/2003,0,0,0,1,0
Imation Corporation,10/13/1999,5/1/1997,8/15/1997,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/30/2003,0,0,0,1,0
Raytheon Company,10/14/1999,1/28/1999,10/12/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/10/2004,1,0,0,0,0
"Newell Rubbermaid, Inc.",10/15/1999,10/21/1998,9/3/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/4/2000,0,0,0,1,0
"StarNet Communications International, Inc.",10/15/1999,3/11/1999,8/20/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/10/2002,0,0,0,1,0
Abbott Laboratories,10/20/1999,3/17/1999,9/29/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,11/15/2001,1,0,0,0,0
Abercrombie & Fitch Co.,10/21/1999,10/8/1999,10/13/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/30/2007,0,0,0,1,0
ContiFinancial Corporation,10/21/1999,1/29/1998,7/21/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/22/2002,0,0,0,1,0
GST Telecommunications Inc.,10/21/1999,11/4/1996,10/22/1998,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/25/2001,0,0,0,1,0
Bergen Brunswig Corporation,10/22/1999,3/16/1999,10/14/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/20/2001,1,0,0,0,0
Fundtech Ltd.,10/22/1999,10/6/1999,10/6/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/24/2000,0,0,0,1,0
"Elligent Consulting Group, Inc.",10/27/1999,12/15/1998,7/29/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/17/2000,0,0,0,1,0
Unisys Corporation,10/28/1999,5/4/1999,10/14/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/6/2001,1,0,0,0,0
Delta Financial Corporation,10/29/1999,10/31/1996,8/18/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/17/2003,0,0,0,1,0
"Pervasive Software, Inc.",11/4/1999,7/15/1999,10/21/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/19/2000,0,0,0,1,0
CareMatrix Corporation,11/5/1999,10/29/1998,10/7/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/19/2003,1,0,0,0,0
"Focus Enhancements, Inc.",11/9/1999,7/17/1997,2/19/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/24/2002,0,0,0,1,0
"CACI International, Inc.",11/10/1999,11/3/1999,11/10/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/18/2001,0,0,0,1,0
"I.C. Isaacs & Company, Inc.",11/10/1999,12/17/1997,11/11/1998,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/20/2001,0,0,0,1,0
"Safety Components International, Inc.",11/12/1999,3/30/1997,11/9/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/28/2001,0,0,0,1,0
"Benchmark Electronics, Inc.",11/18/1999,8/10/1999,10/21/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/21/2003,0,0,0,1,0
"Just For Feet, Inc.",11/19/1999,4/1/1997,11/1/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/15/2005,1,0,0,0,0
"Ribozyme Pharmaceuticals, Inc. (now Sirna Therapeutics, Inc.)",11/19/1999,11/15/1999,11/17/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/8/2003,0,0,0,1,0
Navigant Consulting Inc.,11/23/1999,5/6/1999,11/23/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/7/2001,1,0,0,0,0
"Phoenix International Ltd., Inc.",11/23/1999,5/4/1998,4/15/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/8/2002,1,0,0,0,0
"Eco Soil Systems, Inc.",11/24/1999,4/13/1999,11/3/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/6/2000,0,0,0,1,0
Plains All American Pipeline LP,11/29/1999,11/17/1998,11/29/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/19/2001,0,0,0,1,0
Action Performance Companies Inc.,11/30/1999,7/27/1999,11/4/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/25/2001,0,0,0,1,0
Styling Technology Corporation,11/30/1999,5/5/1998,11/29/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/21/2001,0,0,0,1,0
"Roche Holding, Ltd.",12/2/1999,12/3/1996,5/20/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/30/2003,0,0,0,1,0
"INSpire Insurance Solutions, Inc.",12/3/1999,1/28/1998,10/14/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/10/2005,0,0,0,1,0
Navarre Corporation,12/6/1999,11/25/1998,12/9/1998,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/29/2002,0,0,0,1,0
Life Financial Corporation,12/8/1999,6/24/1997,3/3/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/4/2005,1,0,0,0,0
"Baker Hughes, Inc.",12/9/1999,5/3/1999,12/8/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,3/30/2001,1,0,0,0,0
Tyco International Ltd.,12/9/1999,10/22/1998,12/8/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,2/25/2002,1,0,0,0,0
Xerox Corporation,12/9/1999,1/25/1999,10/7/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/24/2013,0,0,0,1,0
Bank One Corporation,12/14/1999,10/22/1998,11/10/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,6/4/2001,0,0,0,1,0
Amway Asia Pacific Ltd.,12/16/1999,11/18/1999,11/18/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/25/2002,0,0,0,1,0
UICI,12/16/1999,5/5/1999,12/9/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/5/2003,1,0,0,0,0
"STB Systems, Inc.",12/17/1999,8/25/1997,5/1/1998,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/3/2000,0,0,0,1,0
"Lason, Inc.",12/21/1999,12/9/1999,12/17/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/1/2003,0,0,0,1,0
"McDermott International, Inc.",12/21/1999,5/21/1999,11/11/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/1/2001,0,0,0,1,0
"Safeguard Health Enterprises, Inc.",12/21/1999,2/26/1999,11/13/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/27/2002,1,0,0,0,0
"Verity, Inc.",12/21/1999,12/1/1999,12/14/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,7/31/2001,0,0,0,1,0
"Acceptance Insurance Companies, Inc. : AICI Capital Trust Preferred Securities",12/29/1999,7/29/1997,11/15/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/26/2005,0,0,0,1,0
"Skechers USA, Inc.",12/29/1999,6/9/1999,7/6/1999,IPO-NON ALLOCATION,DISMISSED,3/17/2006,0,0,1,0,0
"FreeMarkets, Inc.",1/5/2000,12/10/1999,1/4/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,12/27/2000,0,0,0,1,0
Campbell Soup Company,1/7/2000,11/18/1997,1/8/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/23/2003,0,0,0,1,0
"Lucent Technologies, Inc. : Common Stock and Debt Securities",1/7/2000,10/27/1999,1/6/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/15/2003,1,0,0,0,0
Policy Management Systems Corporation,1/7/2000,10/22/1998,1/6/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/13/2002,0,0,0,1,0
"Value America, Inc.",1/10/2000,4/7/1999,12/28/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/23/2004,0,0,0,1,0
"Legato Systems, Inc.",1/20/2000,10/21/1999,1/19/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/31/2002,1,0,0,0,0
"Information Management Associates, Inc.",1/21/2000,8/12/1999,11/18/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/17/2002,0,0,0,1,0
Sunterra Corporation,1/21/2000,10/4/1998,1/19/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/26/2005,0,0,0,1,0
Pacific Telesis Group and SBC Communications Inc. : 401(k) retirement accounts,1/24/2000,3/1/1994,4/1/1997,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/23/2001,0,0,0,1,0
Onyx Acceptance Corporation,1/25/2000,4/28/1997,1/26/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,3/15/2002,1,0,0,0,0
V-One Corporation,1/27/2000,11/30/1999,11/30/1999,FAILURE OF DISCLOSURE (NON-ACCOUNTING),DISMISSED,2/23/2001,0,0,0,1,0
"Microfield Graphics, Inc.",1/28/2000,7/23/1998,4/2/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/7/2001,0,0,0,1,0
"Sykes Enterprises, Inc.",2/1/2000,4/26/1999,1/31/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/10/2003,1,0,0,0,0
"Analytical Surveys, Inc.",2/2/2000,1/25/1999,1/27/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/21/2001,1,0,0,0,0
Ashanti Goldfields Company Limited,2/3/2000,7/28/1999,10/5/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/31/2006,0,0,0,1,0
Indus International Inc.,2/3/2000,10/29/1999,1/27/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/30/2001,1,0,0,0,0
"BMC Software, Inc.",2/4/2000,7/29/1999,1/4/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,10/1/2001,1,0,0,0,0
Bank One Corporation : First Chicago NBD Corporation and First Commerce Corporation (Old Banc One),2/7/2000,4/10/1998,1/11/2000,MERGER RELATED FRAUD,SETTLED,5/24/2005,0,0,1,0,0
"National Home Health Care Corporation : SunStar Healthcare, Inc.",2/8/2000,11/13/1998,12/14/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,10/26/2001,0,0,0,1,0
"TD Waterhouse Investor Services, Inc.",2/8/2000,2/9/1999,2/8/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,6/26/2001,0,0,0,1,0
World Fuel Services Corporation,2/8/2000,5/26/1999,1/31/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,12/12/2000,0,0,0,1,0
"Sotheby's Holdings, Inc.",2/10/2000,2/11/1997,1/29/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,2/28/2001,0,0,0,1,0
JDN Realty Corporation,2/15/2000,3/31/1997,2/14/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/16/2001,0,0,0,1,0
"Family Golf Centers, Inc.",2/16/2000,7/23/1998,8/12/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,6/25/2004,1,0,0,0,0
Thomas & Betts Corporation,2/16/2000,4/28/1999,12/14/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/23/2002,1,0,0,0,0
Inso Corporation,2/17/2000,10/28/1999,2/1/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/25/2001,0,0,0,1,0
"THQ, Inc.",2/18/2000,10/26/1999,2/10/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/1/2003,1,0,0,0,0
"Aurora Foods, Inc.",2/22/2000,10/27/1999,2/18/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/15/2001,1,0,0,0,0
"IBP, Inc.",2/22/2000,3/25/1999,1/12/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,11/19/2001,0,0,0,1,0
Cinar Corporation,2/23/2000,3/3/1999,2/18/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/24/2003,1,0,0,0,0
Hagemeyer P.P.S. North America Inc. : Vallen Corporation common stock,2/23/2000,11/20/1999,12/17/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,12/6/2001,0,0,0,1,0
"Symons International Group, Inc.",2/23/2000,2/27/1998,11/18/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/21/2004,0,0,0,1,0
"Baker & Hostetler, L.L.P. : Alliance Leasing Corp. investment program",2/24/2000,4/20/1998,10/7/1998,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/15/2003,0,0,0,1,0
InaCom Corporation,2/24/2000,10/20/1998,1/4/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/14/2003,1,0,0,0,0
Upgrade International Corporation,2/24/2000,11/29/1999,2/24/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,5/24/2001,0,0,0,1,0
"Cadence Design Systems, Inc. : OrCAD, Inc. Common Stock",2/25/2000,6/18/1999,7/16/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/15/2002,0,0,0,1,0
"MusicMaker.com, Inc.",2/25/2000,7/7/1999,11/15/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/27/2002,1,0,0,0,0
Ravisent Technologies,2/25/2000,7/15/1999,2/18/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/19/2005,1,0,0,0,0
"VISX, Inc.",2/25/2000,3/1/1999,2/22/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,9/25/2002,1,0,0,0,0
Carnival Corporation,2/28/2000,2/25/1999,2/16/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/14/2004,0,0,0,1,0
"CyberShop.com, Inc.",3/1/2000,10/26/1999,2/24/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,3/19/2002,0,0,0,1,0
Safety-Kleen Corporation : Common Stock,3/7/2000,7/7/1998,3/6/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/21/2004,1,0,0,0,0
Corel Corporation,3/8/2000,12/7/1999,12/21/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/5/2003,1,0,0,0,0
"Kinder Morgan, Inc. : KN Energy, Inc.",3/8/2000,3/19/1997,3/9/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/20/2005,1,0,0,0,0
Procter & Gamble Company,3/8/2000,1/25/2000,3/6/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,12/20/2001,0,0,0,1,0
"FLIR Systems, Inc.",3/13/2000,4/22/1999,3/3/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/3/2001,1,0,0,0,0
VantageMed Corporation,3/13/2000,2/15/2000,3/9/2000,IPO-NON ALLOCATION,SETTLED,7/18/2002,0,0,1,0,0
"eConnect, Inc.",3/14/2000,11/23/1999,3/13/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,10/31/2001,0,0,0,1,0
"Hastings Entertainment, Inc.",3/14/2000,6/12/1998,3/7/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/10/2003,0,0,0,1,0
"AppOnline.com, Inc.",3/17/2000,6/1/1999,3/17/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/23/2002,0,0,0,1,0
"Cumulus Media, Inc.",3/17/2000,5/11/1999,3/16/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/21/2002,1,0,0,0,0
Imperial Credit Commercial Mortgage Investment Corporation,3/17/2000,10/22/1997,10/21/1999,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,4/5/2002,0,0,0,1,0
"Laidlaw, Inc. : Common Stock",3/17/2000,10/15/1997,3/13/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/21/2004,1,0,0,0,0
"Peapod, Inc.",3/17/2000,11/8/1999,3/16/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/29/2000,0,0,0,1,0
"Autodesk, Inc.",3/20/2000,9/14/1998,5/4/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,12/27/2002,1,0,0,0,0
MicroStrategy Inc.,3/20/2000,6/11/1998,3/20/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/4/2001,1,0,0,0,0
AVT Corporation,3/21/2000,1/20/2000,3/17/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,11/27/2001,0,0,0,1,0
"Fruit of the Loom, Inc.",3/22/2000,9/28/1998,11/4/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/17/2006,0,0,0,1,0
Bear Stearns & Co. : Manhattan Investment Fund,3/24/2000,9/1/1996,1/18/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/8/2005,0,0,0,1,0
"KTI, Inc.",3/24/2000,1/1/1998,4/14/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/31/2003,0,0,0,1,0
Ilife.com Inc.,3/28/2000,5/13/1999,3/27/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/21/2003,0,0,0,1,0
"VisionAmerica, Inc.",3/29/2000,11/5/1998,3/24/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/29/2003,1,0,0,0,0
Finova Group,4/6/2000,7/15/1999,3/26/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/1/2002,0,0,0,1,0
"Conseco, Inc. (2000)",4/7/2000,4/28/1999,3/31/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/14/2002,1,0,0,0,0
"Grand Toys International, Inc.",4/7/2000,8/4/1999,8/25/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/26/2001,0,0,0,1,0
"Pacific Gateway Exchange, Inc.",4/7/2000,5/13/1999,3/31/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/2/2004,1,0,0,0,0
"Laidlaw Environmental Services, Inc. : Safety-Kleen Corporation, Inc. 9.25% Senior Subordinated Notes due 2008",4/13/2000,10/23/1998,3/9/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/2/2007,1,0,0,0,0
"Spanlink Communications, Inc.",4/13/2000,2/29/2000,2/29/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/13/2001,0,0,0,1,0
"Terayon Communication Systems, Inc.",4/13/2000,2/2/2000,4/11/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/26/2007,0,0,0,1,0
"Metropolitan Life Insurance Company (MetLife, Inc.)",4/18/2000,9/28/1999,4/18/2000,DEMUTUALIZATION,SETTLED,9/20/2012,0,0,0,0,0
"E.spire Communications, Inc.",4/19/2000,8/12/1999,3/30/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,1/29/2001,1,0,0,0,0
"Kitty Hawk, Inc.",4/19/2000,4/22/1999,4/11/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/29/2005,0,0,0,1,0
PE Corporation Celera Genomics Group,4/19/2000,2/29/2000,3/14/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/25/2010,1,0,0,0,0
"SCB Computer Technology, Inc.",4/19/2000,8/19/1997,4/13/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/18/2002,1,0,0,0,0
"On-Point Technology Systems, Inc.",4/20/2000,3/24/1998,2/22/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,10/3/2001,1,0,0,0,0
Serologicals Corporation,4/20/2000,4/27/1999,4/7/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,2/21/2003,1,0,0,0,0
A.T. Cross Company,4/21/2000,9/17/1997,4/22/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/9/2005,1,0,0,0,0
Bristol-Myers Squibb Company (2000),4/25/2000,11/8/1999,4/19/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,5/11/2006,0,0,0,1,0
AK Steel Holding Corporation,4/28/2000,7/15/1999,1/25/2000,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/12/2004,0,0,0,1,0
"Intel Corporation : DSP Communications, Inc. Common Stock",5/1/2000,10/14/1999,5/1/2000,ACQUISITION RELATED FRAUD,SETTLED,6/16/2003,0,0,0,0,0
Dow Chemical Corporation,5/3/2000,8/13/1999,5/3/2000,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,1/3/2001,0,0,0,1,0
Accelr8 Technology Corporation,5/4/2000,9/15/1997,11/16/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/29/2003,1,0,0,0,0
"NutraMax Products, Inc.",5/4/2000,1/20/1998,11/24/1999,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/30/2002,1,0,0,0,0
S1 Corporation,5/8/2000,11/2/1999,5/2/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,12/14/2001,1,0,0,0,0
"Stone & Webster, Inc.",5/8/2000,4/27/1999,4/28/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/13/2009,1,0,0,0,0
"U.S. Franchise Systems, Inc.",5/17/2000,5/6/1999,10/29/1999,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/17/2002,0,0,0,1,0
"Cyber-Care, Inc.",5/19/2000,11/4/1999,5/12/2000,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,12/20/2002,1,0,0,0,0
